Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-08-15,Failure to Launch,2006,https://boxd.it/1iMjoH,2.5,,,2020-08-14
2020-09-01,Tenet,2020,https://boxd.it/1kAwrt,5,,,2020-08-31
2020-09-12,The Founder,2016,https://boxd.it/1lKuPx,4,,,2020-09-12
2020-10-31,Horrible Bosses,2011,https://boxd.it/1qYpTd,3,,,2020-10-30
2021-01-31,The Little Things,2021,https://boxd.it/1CYwy5,2.5,,,2021-01-30
2021-02-01,The Firm,1993,https://boxd.it/1DbdVP,4,,,2021-01-31
2021-02-13,Captain America: The First Avenger,2011,https://boxd.it/1EOjS5,4,Yes,,2021-02-12
2021-02-14,Mamma Mia!,2008,https://boxd.it/1EXXw7,2.5,,,2021-02-13
2021-02-14,Captain America: Civil War,2016,https://boxd.it/1EZ4rv,4.5,Yes,,2021-02-13
2021-02-15,Mamma Mia! Here We Go Again,2018,https://boxd.it/1FaPON,3,,,2021-02-14
2021-02-16,Spider-Man: Homecoming,2017,https://boxd.it/1Fkde3,5,Yes,,2021-02-15
2021-02-17,The Greatest Showman,2017,https://boxd.it/1FsTAB,3.5,,,2021-02-16
2021-02-18,Doctor Strange,2016,https://boxd.it/1FBmFV,4,Yes,,2021-02-17
2021-02-19,Eurovision Song Contest: The Story of Fire Saga,2020,https://boxd.it/1FJGPR,3,,,2021-02-19
2021-02-20,De grote dataroof,2019,https://boxd.it/1FP2ph,4,,,2021-02-19
2021-02-20,Pokémon Detective Pikachu,2019,https://boxd.it/1FQCiN,5,Yes,,2021-02-19
2021-02-21,Thor: Ragnarok,2017,https://boxd.it/1G0iTz,5,Yes,,2021-02-19
2021-02-21,Captain America: Civil War,2016,https://boxd.it/1G03sj,4.5,Yes,,2021-02-20
2021-02-21,Black Panther,2018,https://boxd.it/1G2J4n,4,Yes,,2021-02-20
2021-02-22,Chef,2014,https://boxd.it/1G41l9,5,Yes,,2021-02-21
2021-02-22,Avengers: Infinity War,2018,https://boxd.it/1GdX1p,4.5,Yes,,2021-02-21
2021-02-23,The Muppets,2011,https://boxd.it/1GlwyR,3.5,,,2021-02-22
2021-02-23,Ant-Man and the Wasp,2018,https://boxd.it/1Gm1xF,3.5,Yes,,2021-02-22
2021-02-24,Shrek the Musical,2013,https://boxd.it/1Gteeb,,,,2021-02-23
2021-02-25,Captain Marvel,2019,https://boxd.it/1GA11x,3.5,Yes,,2021-02-24
2021-02-26,Avengers: Endgame,2019,https://boxd.it/1GIam1,5,Yes,,2021-02-26
2021-03-03,Moulin Rouge!,2001,https://boxd.it/1HoAcl,4,,,2021-03-02
2021-03-08,WandaVision,2021,https://boxd.it/1HX5FL,4,,,2021-03-05
2021-03-08,The Five-Year Engagement,2012,https://boxd.it/1HX6dD,3.5,Yes,,2021-03-06
2021-03-09,The Hunchback of Notre Dame,1996,https://boxd.it/1IdSLP,3.5,,,2021-03-09
2021-03-11,Spider-Man: Far From Home,2019,https://boxd.it/1IlzaV,5,Yes,,2021-03-09
2021-03-15,Forgetting Sarah Marshall,2008,https://boxd.it/1IYD8d,4.5,Yes,,2021-03-14
2021-03-29,Zack Snyder's Justice League,2021,https://boxd.it/1KUE2l,4.5,,,2021-03-28
2021-04-09,Moneyball,2011,https://boxd.it/1MtMfB,4,Yes,,2021-04-01
2021-04-07,Batman Begins,2005,https://boxd.it/1Md5Y7,4,Yes,,2021-04-05
2021-04-07,Saving Private Ryan,1998,https://boxd.it/1Md5rH,5,Yes,,2021-04-06
2021-04-07,Inception,2010,https://boxd.it/1Md5Kz,5,Yes,,2021-04-06
2021-04-07,Django Unchained,2012,https://boxd.it/1MdrDF,4.5,Yes,,2021-04-06
2021-04-08,Justice League: The Flashpoint Paradox,2013,https://boxd.it/1MiSCf,4,Yes,,2021-04-07
2021-04-09,Steve Jobs,2015,https://boxd.it/1Mr3xL,4.5,Yes,,2021-04-08
2021-04-09,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/1MsydJ,5,Yes,,2021-04-08
2021-04-09,The Lord of the Rings: The Two Towers,2002,https://boxd.it/1MtHXD,5,Yes,,2021-04-08
2021-04-10,The Lord of the Rings: The Return of the King,2003,https://boxd.it/1MArYz,5,Yes,,2021-04-09
2021-04-10,The Hateful Eight,2015,https://boxd.it/1MBtGT,4.5,Yes,,2021-04-09
2021-04-11,50 First Dates,2004,https://boxd.it/1MJR1B,4,Yes,,2021-04-10
2021-04-11,Accepted,2006,https://boxd.it/1MLcVH,2.5,,,2021-04-10
2021-04-13,About Time,2013,https://boxd.it/1N7pyl,5,Yes,,2021-04-12
2021-04-14,Saving Mr. Banks,2013,https://boxd.it/1NdR9l,4.5,Yes,,2021-04-13
2021-04-16,Godzilla vs. Kong,2021,https://boxd.it/1NsGGD,3,,,2021-04-15
2021-04-16,Kong: Skull Island,2017,https://boxd.it/1NsLmt,3.5,,,2021-04-15
2021-04-19,Rush,2013,https://boxd.it/1NYofD,4,,,2021-04-18
2021-04-20,The Departed,2006,https://boxd.it/1O4TvJ,4,,,2021-04-19
2021-04-23,The Falcon and the Winter Soldier,2021,https://boxd.it/1Ovznf,3.5,,,2021-04-23
2021-05-02,The Matrix,1999,https://boxd.it/1PJlIl,4.5,,,2021-05-01
2021-06-20,Greater,2016,https://boxd.it/1WhrHv,3,,,2021-05-15
2021-05-27,The Blind Date,2018,https://boxd.it/1T80Ef,4,,,2021-05-22
2021-05-24,The Lion King,2019,https://boxd.it/1SFcUr,4,Yes,,2021-05-23
2021-05-24,Logan Lucky,2017,https://boxd.it/1SJ6cV,4,Yes,,2021-05-23
2021-05-25,Zombieland,2009,https://boxd.it/1SS7dj,4,Yes,,2021-05-24
2021-05-27,Pulp Fiction,1994,https://boxd.it/1T80VF,4.5,,,2021-05-26
2021-05-28,Arrival,2016,https://boxd.it/1TcNMl,3.5,,,2021-05-27
2021-05-29,A Quiet Place Part II,2020,https://boxd.it/1TnWiV,4,,,2021-05-28
2021-05-30,The Death of Stalin,2017,https://boxd.it/1Tvzch,4,,,2021-05-29
2021-05-30,Rear Window,1954,https://boxd.it/1TxxiV,4.5,,,2021-05-30
2021-05-31,Notting Hill,1999,https://boxd.it/1TI56T,4,Yes,,2021-05-30
2021-06-07,Old School,2003,https://boxd.it/1UCfPB,3.5,,,2021-06-06
2021-06-10,Stranger Than Fiction,2006,https://boxd.it/1UZ2SN,4,,,2021-06-09
2021-06-10,Blade Runner,1982,https://boxd.it/1V0e85,,,,2021-06-09
2021-06-14,State of Play,2009,https://boxd.it/1VrQwj,3,,,2021-06-13
2021-06-14,Kill Bill: Vol. 1,2003,https://boxd.it/1VvgcF,4.5,Yes,,2021-06-13
2021-06-16,The Town,2010,https://boxd.it/1VKfvB,3.5,,,2021-06-15
2021-06-20,Midnight Special,2016,https://boxd.it/1WhlpZ,3,,,2021-06-19
2021-06-22,Mud,2012,https://boxd.it/1WxXeR,4,Yes,,2021-06-21
2021-06-23,I Care a Lot,2020,https://boxd.it/1WGdDT,1.5,,,2021-06-23
2021-06-25,"Hail, Caesar!",2016,https://boxd.it/1WSOSl,4,,,2021-06-24
2021-06-26,Once Upon a Time... in Hollywood,2019,https://boxd.it/1X1Ug1,5,Yes,,2021-06-25
2021-07-11,Black Widow,2021,https://boxd.it/1Z40Cp,3,,,2021-07-09
2021-07-17,Loki,2021,https://boxd.it/1ZXrCB,4.5,,,2021-07-13
2021-07-18,Bo Burnham: Inside,2021,https://boxd.it/20eTRD,3,,,2021-07-17
2021-07-25,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/21gDXX,4.5,Yes,,2021-07-24
2021-08-05,The Green Knight,2021,https://boxd.it/22RIi9,3,,,2021-08-04
2021-08-08,Chernobyl,2019,https://boxd.it/23kgjL,4.5,,,2021-08-07
2021-08-16,Dunkirk,2017,https://boxd.it/24rjvj,5,Yes,,2021-08-15
2021-08-23,Free Guy,2021,https://boxd.it/25tUiJ,4,,,2021-08-22
2021-08-28,CODA,2021,https://boxd.it/26avur,4.5,,,2021-08-27
2021-09-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/27kewT,4,,,2021-09-04
2021-09-06,From Russia with Love,1963,https://boxd.it/27uVzh,3.5,,,2021-09-05
2021-09-06,The Lincoln Lawyer,2011,https://boxd.it/27vmbh,4,,,2021-09-06
2021-09-08,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,https://boxd.it/27LzHH,3,,,2021-09-07
2021-09-08,Thunderball,1965,https://boxd.it/27Nes1,2.5,,,2021-09-07
2021-09-09,You Only Live Twice,1967,https://boxd.it/27UN0b,3.5,,,2021-09-08
2021-09-11,On Her Majesty's Secret Service,1969,https://boxd.it/28aOvL,3,,,2021-09-10
2021-09-12,Diamonds Are Forever,1971,https://boxd.it/28jQlh,3,,,2021-09-11
2021-09-12,Freaky,2020,https://boxd.it/28kFJf,1.5,,,2021-09-11
2021-09-13,Live and Let Die,1973,https://boxd.it/28ujYH,2,,,2021-09-12
2021-09-16,The Man with the Golden Gun,1974,https://boxd.it/28Qg9Z,3,,,2021-09-15
2021-09-16,The Spy Who Loved Me,1977,https://boxd.it/28RuHD,4,,,2021-09-15
2021-09-19,A View to a Kill,1985,https://boxd.it/29fZLT,2,,,2021-09-18
2021-09-23,The Living Daylights,1987,https://boxd.it/29JB1R,3,,,2021-09-22
2021-09-26,GoldenEye,1995,https://boxd.it/2aajnp,3.5,,,2021-09-25
2021-09-27,Tomorrow Never Dies,1997,https://boxd.it/2ajoEt,3,,,2021-09-26
2021-09-28,The World Is Not Enough,1999,https://boxd.it/2aqBMf,3.5,,,2021-09-27
2021-09-29,Die Another Day,2002,https://boxd.it/2axh13,2,,,2021-09-28
2021-09-30,Casino Royale,2006,https://boxd.it/2aF5nd,4.5,,,2021-09-29
2021-10-05,Quantum of Solace,2008,https://boxd.it/2btaP7,3.5,,,2021-10-04
2021-10-09,Spectre,2015,https://boxd.it/2c0W6l,3.5,,,2021-10-08
2021-10-10,Mission: Impossible III,2006,https://boxd.it/2cbzwx,3.5,Yes,,2021-10-09
2021-10-11,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/2cmXJx,4,Yes,,2021-10-10
2021-10-13,No Time to Die,2021,https://boxd.it/2cGe11,4.5,,,2021-10-12
2021-10-21,Mission: Impossible – Rogue Nation,2015,https://boxd.it/2dT7yn,4.5,Yes,,2021-10-20
2021-10-22,Dune,2021,https://boxd.it/2e1AI3,4.5,,,2021-10-21
2021-10-27,The Last Duel,2021,https://boxd.it/2eRFeV,4,,,2021-10-26
2021-11-03,Last Night in Soho,2021,https://boxd.it/2g2p9h,4.5,,,2021-11-02
2021-11-07,Blade Runner 2049,2017,https://boxd.it/2gBo8n,4.5,,,2021-11-06
2021-11-14,Spencer,2021,https://boxd.it/2hIY6l,3.5,,,2021-11-13
2021-11-29,Jungle Cruise,2021,https://boxd.it/2jYDtN,3,,,2021-11-28
2021-12-06,Dune,2021,https://boxd.it/2l3mYj,4.5,Yes,smithsonian,2021-12-05
2021-12-12,Whiplash,2014,https://boxd.it/2lWuMb,4.5,,,2021-12-11
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mH7r9,5,,,2021-12-16
2021-12-20,Spider-Man: No Way Home,2021,https://boxd.it/2nhZxR,5,Yes,angelika,2021-12-19
2021-12-23,Hawkeye,2021,https://boxd.it/2nUfDH,3.5,,,2021-12-22
2021-12-30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/2pCo0r,4.5,Yes,,2021-12-29
2022-01-16,The Tragedy of Macbeth,2021,https://boxd.it/2ueK93,3,,,2022-01-16
2022-01-17,Braveheart,1995,https://boxd.it/2uqtKP,,,,2022-01-16
2022-01-20,Licorice Pizza,2021,https://boxd.it/2v7VbJ,4.5,,,2022-01-19
2022-01-23,The Matrix Resurrections,2021,https://boxd.it/2vLwkB,3,,,2022-01-22
2022-01-28,American Underdog,2021,https://boxd.it/2wIJez,3,,,2022-01-27
2022-01-29,Dirty Work,1998,https://boxd.it/2wQI2j,3,,,2022-01-28
2022-02-10,Death on the Nile,2022,https://boxd.it/2zaKXJ,3.5,,,2022-02-09
2022-02-13,The Beatles: Get Back - The Rooftop Concert,2022,https://boxd.it/2zEWXr,,,,2022-02-12
2022-02-19,"I Love You, Man",2009,https://boxd.it/2AJ6gT,4,Yes,,2022-02-17
2022-02-19,Batman Begins,2005,https://boxd.it/2AITDl,4,Yes,,2022-02-18
2022-02-19,Free Guy,2021,https://boxd.it/2ALsIT,4,Yes,,2022-02-18
2022-02-20,Defending Jacob,2020,https://boxd.it/2B2oKP,3.5,,,2022-02-19
2022-02-23,Uncharted,2022,https://boxd.it/2BCr9J,3,,,2022-02-22
2022-02-27,Tropic Thunder,2008,https://boxd.it/2CbtX7,,,,2022-02-25
2022-02-28,Murder on the Orient Express,2017,https://boxd.it/2CrPgV,4,,,2022-02-27
2022-02-28,The Worst Person in the World,2021,https://boxd.it/2CtT31,4,,,2022-02-27
2022-03-02,The Batman,2022,https://boxd.it/2CNwuN,4.5,,,2022-03-01
2022-03-04,The Gentlemen,2019,https://boxd.it/2Daamj,4,Yes,,2022-03-03
2022-03-05,Tenet,2020,https://boxd.it/2Dlf3j,5,Yes,,2022-03-04
2022-03-06,Edge of Tomorrow,2014,https://boxd.it/2DzHhh,4,Yes,,2022-03-05
2022-03-07,West Side Story,2021,https://boxd.it/2DLkuL,3,,,2022-03-06
2022-03-08,The King's Man,2021,https://boxd.it/2DXWSl,3,,,2022-03-07
2022-03-12,The Adam Project,2022,https://boxd.it/2EEsIV,2.5,,,2022-03-11
2022-03-14,The Suicide Squad,2021,https://boxd.it/2EVSjh,3.5,,,2022-03-12
2022-03-14,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/2F4ZMX,4,Yes,alamo,2022-03-13
2022-03-18,Yesterday,2019,https://boxd.it/2FNrn5,4,Yes,,2022-03-17
2022-03-24,Belfast,2021,https://boxd.it/2GXCoR,4.5,,,2022-03-23
2022-03-27,The Power of the Dog,2021,https://boxd.it/2HuEuD,4,,,2022-03-26
2022-03-27,Windfall,2022,https://boxd.it/2HxS3x,3,,,2022-03-26
2022-03-27,A Futile and Stupid Gesture,2018,https://boxd.it/2Hyzcd,3.5,,,2022-03-26
2022-03-28,The Lost City,2022,https://boxd.it/2HEfov,3,,,2022-03-27
2022-04-03,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/2IK3sV,3,,,2022-04-02
2022-04-04,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/2IUxdr,5,,alamo,2022-04-03
2022-04-06,Moneyball,2011,https://boxd.it/2JcoGZ,4,Yes,,2022-04-05
2022-04-06,The Bubble,2022,https://boxd.it/2Je64n,2.5,,,2022-04-05
2022-04-09,Sonic the Hedgehog 2,2022,https://boxd.it/2JJmjl,4,,amc a-list,2022-04-08
2022-04-11,Everything Everywhere All at Once,2022,https://boxd.it/2Ka1Ap,5,,amc a-list,2022-04-10
2022-04-14,Father Stu,2022,https://boxd.it/2KDT2p,3.5,,amc a-list,2022-04-13
2022-04-15,Ambulance,2022,https://boxd.it/2KPyCF,4,,amc a-list,2022-04-14
2022-04-17,The Prince of Egypt,1998,https://boxd.it/2LdeZn,5,Yes,,2022-04-16
2022-04-22,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2M8CPl,4,,amc a-list,2022-04-21
2022-04-25,The Northman,2022,https://boxd.it/2MHeGT,4.5,,amc a-list,2022-04-24
2022-05-01,John Wick,2014,https://boxd.it/2NIO19,4.5,Yes,,2022-04-30
2022-05-02,Margin Call,2011,https://boxd.it/2NVSgj,3,,,2022-05-01
2022-05-06,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OBeml,4,,amc a-list,2022-05-06
2022-05-09,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2P6A5j,4,Yes,amc a-list,2022-05-08
2022-05-11,Vertigo,1958,https://boxd.it/2PykQJ,4.5,,,2022-05-10
2022-05-22,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/2RtPSz,3.5,Yes,,2022-05-21
2022-05-23,Men,2022,https://boxd.it/2RFvd1,1.5,,amc a-list,2022-05-22
2022-05-23,Begin Again,2013,https://boxd.it/2RHLZT,2.5,,,2022-05-22
2022-05-26,Ricky Gervais: SuperNature,2022,https://boxd.it/2SeYHT,3,,,2022-05-25
2022-05-27,Top Gun: Maverick,2022,https://boxd.it/2Soq3P,4.5,,,2022-05-26
2022-05-28,Knives Out,2019,https://boxd.it/2SuoAp,4.5,Yes,,2022-05-27
2022-05-31,Top Gun: Maverick,2022,https://boxd.it/2T4Nbh,4.5,Yes,amc a-list,2022-05-30
2022-06-05,Top Gun: Maverick,2022,https://boxd.it/2TQTQV,5,Yes,amc a-list,2022-06-04
2022-06-06,National Theatre Live: Henry V,2022,https://boxd.it/2U4ysB,3.5,,angelika,2022-06-05
2022-06-06,Norm Macdonald: Nothing Special,2022,https://boxd.it/2U5BbF,,,,2022-06-05
2022-06-06,The Hangover,2009,https://boxd.it/2U8HMt,2.5,,,2022-06-05
2022-06-06,Star Wars: The Rise of Skywalker,2019,https://boxd.it/2UalJL,4,Yes,,2022-06-05
2022-06-19,Spiderhead,2022,https://boxd.it/2WlZib,3,,,2022-06-18
2022-06-20,Hustle,2022,https://boxd.it/2WyiJf,3.5,,,2022-06-19
2022-06-20,Jurassic World Dominion,2022,https://boxd.it/2WG1Mx,2,,amc a-list,2022-06-19
2022-06-23,Obi-Wan Kenobi,2022,https://boxd.it/2X8zUV,3,,,2022-06-22
2022-06-23,Everything Everywhere All at Once,2022,https://boxd.it/2Xfy7n,5,Yes,amc a-list,2022-06-22
2022-06-27,Top Gun: Maverick,2022,https://boxd.it/2XX3Xv,5,Yes,Smithsonian,2022-06-26
2022-06-27,Top Gun,1986,https://boxd.it/2Y01yf,4,Yes,,2022-06-26
2022-06-28,Elvis,2022,https://boxd.it/2YdFvr,4,,amc a-list,2022-06-27
2022-06-29,Thor,2011,https://boxd.it/2Yp4D3,3,,,2022-06-28
2022-06-30,Looper,2012,https://boxd.it/2YAN4p,4,,,2022-06-29
2022-07-01,Thor: The Dark World,2013,https://boxd.it/2YF1yL,2,,,2022-06-30
2022-07-01,Avengers: Age of Ultron,2015,https://boxd.it/2YGR8H,3.5,Yes,,2022-06-30
2022-07-05,Zero Dark Thirty,2012,https://boxd.it/2ZuLpd,4,,,2022-07-04
2022-07-08,Thor: Love and Thunder,2022,https://boxd.it/302XnL,4,,amc a-list,2022-07-07
2022-07-11,A New Birth of Freedom,,https://boxd.it/30BLEZ,,,,2022-07-10
2022-07-14,Thor: Love and Thunder,2022,https://boxd.it/31hlbL,3.5,Yes,amc a-list,2022-07-13
2022-07-18,Thor: Love and Thunder,2022,https://boxd.it/325pe5,3.5,Yes,alamo,2022-07-17
2022-07-24,The Gray Man,2022,https://boxd.it/33b7DR,3,,,2022-07-23
2022-07-25,Argo,2012,https://boxd.it/33psqR,4,Yes,,2022-07-24
2022-07-25,Nope,2022,https://boxd.it/33uAXJ,4,,amc a-list,2022-07-24
2022-07-28,Best Sellers,2021,https://boxd.it/34r1Wp,2.5,,,2022-07-27
2022-07-28,The Card Counter,2021,https://boxd.it/34saMZ,3,,,2022-07-27
2022-07-29,Spy,2015,https://boxd.it/34F7M9,3,,,2022-07-28
2022-07-29,Moneyball,2011,https://boxd.it/34H2dR,4,Yes,,2022-07-28
2022-07-31,Once Upon a Time... in Hollywood,2019,https://boxd.it/356U11,5,Yes,,2022-07-30
2022-08-07,Bullet Train,2022,https://boxd.it/36twzt,3.5,,amc a-list,2022-08-06
2022-08-08,Vengeance,2022,https://boxd.it/36HUwB,4,,amc a-list,2022-08-07
2022-08-16,Bodies Bodies Bodies,2022,https://boxd.it/38tQLx,3.5,,amc a-list,2022-08-15
2022-08-28,Rogue One: A Star Wars Story,2016,https://boxd.it/3aFJ0V,4.5,Yes,amc a-list,2022-08-27
2022-08-28,Outside In,2017,https://boxd.it/3aMdZL,2,,,2022-08-27
2022-08-28,The Nice Guys,2016,https://boxd.it/3aNVff,3.5,,,2022-08-27
2022-08-29,Untold: The Girlfriend Who Didn't Exist,2022,https://boxd.it/3b0jY3,,,,2022-08-28
2022-08-30,Three Thousand Years of Longing,2022,https://boxd.it/3bc0HL,4,,amc a-list,2022-08-29
2022-09-04,Jaws,1975,https://boxd.it/3bYOqL,4.5,,amc a-list,2022-09-03
2022-09-05,Spider-Man: No Way Home,2021,https://boxd.it/3ccHrv,5,Yes,amc a-list,2022-09-04
2022-09-10,This Is 40,2012,https://boxd.it/3deHG9,2.5,,,2022-09-10
