Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-05-02,A Parks and Recreation Special,2020,https://boxd.it/17xTE3,1.5,,"I feel like this was written as if the audience is stupid and didn't know how to take care of themselves during this time. ""Lessons"" every other sentence like a show for children. 

That said, it was nice to see a reunion of all the characters and some of the gags.",,2020-05-02
2020-05-04,Extraction,2020,https://boxd.it/17NjM3,3.5,,"Hey Netflix, that was pretty good. Bring on the content!",,2020-05-03
2020-05-22,Justice League,2017,https://boxd.it/19T4S1,1.5,,Yikes. ,,2020-05-21
2020-05-25,Beastie Boys Story,2020,https://boxd.it/1ahuwj,4,,Legendary.,,2020-05-24
2020-06-14,RV,2006,https://boxd.it/1cop63,2.5,Yes,"I don’t care, I like this movie.",,2020-06-13
2020-07-19,Palm Springs,2020,https://boxd.it/1fYsIj,4.5,,What an absolute delight 😊,,2020-07-18
2020-07-24,Transformers,2007,https://boxd.it/1gv3WL,3,Yes,"Loved this one as a kid. No, it didn’t hold up as well as I’d hoped but damn it this movie changed CGI forever. It’s near flawless.",,2020-07-23
2020-07-25,30 Rock: A One-Time Special,2020,https://boxd.it/1gxRbT,3,,"Yes, it's clunky. Yes, it was essentially an ad – but unlike the Parks and Rec reunion, they didn't make the audience feel like idiots and made the advertising more than obvious in true 30 Rock fashion. I've missed these characters and their jokes. Worth a watch.",,2020-07-23
2020-08-27,Killing Gunther,2017,https://boxd.it/1k1y0f,2.5,,Incredibly stupid but worth a watch for some modern goofy Arnold.,,2020-08-26
2020-09-12,Tenet,2020,https://boxd.it/1lKhRl,4.5,Yes,Movies like this have low rewatch value—USUALLY. Was tipped off that I’d be seeing a different movie the second go round. It was.,,2020-09-11
2020-09-29,Bill & Ted Face the Music,2020,https://boxd.it/1nufUt,3.5,,"Total disclosure: haven’t seen the first two but knew enough of the back story for things to make sense. That being said, I thoroughly enjoyed this one. Had I known, I probably would have watched it on the big screen. Will definitely need to watch the first two now.",,2020-09-28
2020-10-07,The Hedgehog,2015,https://boxd.it/1ohAkT,1,,"I've never wanted to unwatch a film more in my life. I can not tell you how wrong the description of this short film is. The cinematography is beautiful, but the story left me feeling empty and angry. 

Don't pass go, don't collect $200. Skip this one. 

Since you accepted spoilers, here goes nothing: It's about a kid who is lonely and sad on an adventure (as the synopsis stated). But it also follows a middle aged man in a panic. By the end of the film you learn it's the little boy, in the future. The film ends with them both holding a little Sonic doll as the boy continues to be lonely, and the man hangs himself with cables in the bathroom. 



Why?",,2020-10-06
2020-10-13,Larry David: Curb Your Enthusiasm,1999,https://boxd.it/1oWwvv,3.5,,"It’s incredible how I can see elements of my favorite show in this and things the show grew out of. Despite the good and the bad of this special, it gave birth to an incredible show that somehow feels more relevant than ever.",,2020-10-12
2020-11-06,Christmas with the Kranks,2004,https://boxd.it/1rFyUl,,Yes,"One of my guilty pleasure Christmas movies. Sorry not sorry. 

I’ll rip on it throughout but love the heartwarming ending. 

PS: have you ever noticed the dishonesty in the main character’s family and not to mention the neighborhood?",,2020-11-05
2020-11-15,Once Upon a Time... in Hollywood,2019,https://boxd.it/1szPNt,5,Yes,Still love it. Makes me miss the amazing year of cinema 2019 brought us. ,,2020-11-14
2020-11-20,LEGO Star Wars Holiday Special,2020,https://boxd.it/1sZMQ7,3,,"Poe Roasting a fat Porg(?) in place of a Thanksgiving turkey on the Millennium Falcon is now canon. 

Jokes aside this was a fun watch with the family. It honestly deserves all the stars in context of the original Star Wars holiday special.",,2020-11-19
2020-12-27,Wonder Woman 1984,2020,https://boxd.it/1xptFn,2,,"8 year old playing with friends: you can’t see me because I also have invisibility powers!

The rest of the kids: no you don’t. You can’t just invent new powers!

WW84: hold my beer",,2020-12-26
2021-01-14,Hunt for the Wilderpeople,2016,https://boxd.it/1AtAgp,4,,Yet another film with a lot of heart from Mr. Waititi. Taika Waititi is on a spree and I had no idea until now.,,2021-01-13
2021-01-15,Run Hide Fight,2020,https://boxd.it/1ACtpH,3.5,,"Wow. Edge of my seat the entire time. It’s too bad this isn’t getting a wider release, but I highly recommend checking this out.",,2021-01-14
2021-01-17,Dumbo,2019,https://boxd.it/1AY0ep,,,Didn’t finish it. The characters aren’t likable even when they’re supposed to be. The kids took me out of the experience every time they spoke. I really wanted to like this.,,2021-01-16
2021-02-01,AlphaGo,2017,https://boxd.it/1D6Vzj,4.5,,"If you need me, you’ll find me processing the inner conflict and empathy for all sides involved that I felt watching this.",,2021-01-31
2021-02-08,Malcolm & Marie,2021,https://boxd.it/1E61RF,2.5,,"Despite my 5/10 rating, I can't stop reflecting on this story. Going to attempt a rewatch soon.

While parts of this were hard to watch, not just because of content, but some of the performances lack realism for short periods of time. You're watching a *spoiler* fight in, what feels like, real time unfold on the screen–while the content itself is good, it can be exhausting. That's the entire story arc: An exhausting fight.",,2021-02-07
2021-03-05,Coming 2 America,2021,https://boxd.it/1HCnLP,3,,Rough start but a soft landing. Glad I stuck it out. The sequel can’t touch the original (which is even joked about in the movie).,,2021-03-04
2021-04-24,The Falcon and the Winter Soldier,2021,https://boxd.it/1OxOPR,1.5,,"Unlike Wandavision, this is pretty skippable. Other than the introduction of John Walker’s character there isn’t much other than some blatantly-obvious and preachy messaging. Say what you want—It could have been done better. 

Would have loved to see more of Yori.

Happy to see Cap is back. However, again, it leaves us right where we left off in the movies.",,2021-04-23
2021-04-30,Agent Cody Banks 2: Destination London,2004,https://boxd.it/1PvnuH,1.5,,Ugh.,,2021-04-29
2021-05-19,The Mitchells vs. the Machines,2021,https://boxd.it/1S6VlV,4,,Went into this one blind. Loved every minute of it. Sony Animation is killing it lately!,,2021-05-19
2021-05-21,The Blind Date,2018,https://boxd.it/1ShrXn,4,,Super interesting twist on a standup show. Recommend this one!,,2021-05-20
2021-07-10,Black Widow,2021,https://boxd.it/1YZt89,2,,"The post-Endgame era is different. While Loki, another prequel, is exploring new ideas, there is a familiar charm that it offers. This charm that was present in the era of marvel that Black Widow exists in, is missing. Don’t get me wrong–it was enjoyable. I won’t however be rewatching this one along with the other mainline movies. 

I’m holding back from making the “<b>Fast and Furious presents: Black Widow</b>” comparison but it’s hard to fight the urge. 

Lastly, what was up with the CGI? I know I’m not the only person thrown off when the physics and overall quality of special effects is <i>off.</i>

If you were to ask me, I’d suggest to wait for the Disney+ release (sans premium pass).",,2021-07-09
2021-07-15,Loki,2021,https://boxd.it/1ZHkkX,3,,Loved it until the finale. Went from 4.5 to 3 stars real quick.,,2021-07-14
2021-07-18,Once Upon a Time... in Hollywood,2019,https://boxd.it/20dA9b,5,Yes,"Just finished the book and pulled down the screen for another viewing. It’s different. The compromises and changes made for the movie - the final product, are perfect. I loved reading what felt like Tarantino’s train-of-thoughts that lead to this final product. The movie and book compliment each other really well, instead of the movie feeling incomplete. Crossing my fingers and toes for the extended release he recently spoke of with deleted scenes edited back in.",,2021-07-17
2021-08-05,The Green Knight,2021,https://boxd.it/22RJip,3,,"Definitely got the feeling that this is David Lowery’s favorite movie.


Loved the fairy tale aspects - especially the cautionary companion portrayed by the fox. Some things bizarre. Very pretty movie that’s really shallow but I find myself still trying to figure out the deeper connection between knight and mother.",,2021-08-04
2021-09-19,Nathan for You: Finding Frances,2017,https://boxd.it/29fImx,4.5,Yes,“I’M HERE TO MARRY <b>YOUR WIFE</b>!”,,2021-09-19
2021-11-03,Last Night in Soho,2021,https://boxd.it/2g2pIV,3.5,,"Seriously, this is a spoiler so close it if you haven’t seen it. But damn, was that a take on a reverse Jack the Ripper? 

Oh man, I just connected Jack and Jack. This film is brilliant.",,2021-11-02
2021-11-14,Home Sweet Home Alone,2021,https://boxd.it/2hEsyz,0.5,,"Never wanted a streaming service to have the ability to watch at 2x speed as much as I did with this movie. 

There are few movies where the foreshadowing is this obvious and bad. I knew the way the movie ended since the beginning. “Don’t take other peoples stuff”. It was obvious the nephew took the doll - and I’m writing this before the movie even ended for me. (I’ll update if that’s wrong, but… It won’t be)

This movie has no heart and it tries to combat that with blatantly EMBARRASSINGLY forced “feel good” moments. 

Disney, your reboot… WOOF!",,2021-11-13
2021-12-11,Disney's FastPass: A Complicated History,2021,https://boxd.it/2lIQpP,4,,"oof.
Never been to Disney Land/World. Wanted to visit but after speaking to friends who dedicate massive planning and effort to their 'vacation' planning makes me feel like I don't even have a chance to just go and enjoy myself–Rather I'll be stuck in lines for days.

Genie+, at least for someone like me, who doesn't have a ""Bachelor Degree in Disney"" like the documentary mentioned, a chance to have a good time. 

Amazing documentary with twists and turns just like the attractions its about. ",,2021-12-10
2021-12-19,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/2n7OSJ,,Yes,Vader: “DO NOT WAAAAANT”,,2021-12-18
2021-12-31,Beanie Mania,2021,https://boxd.it/2pPKUx,,,"A cautionary tale. 
Very reminiscent of the recent meme stocks and crypto craze.",,2021-12-30
