Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-10-16,El Camino: A Breaking Bad Movie,2019,https://boxd.it/Qb06t,3,Yes,,2019-10-14
2019-10-20,Peluca,2003,https://boxd.it/Qp495,,Yes,,2019-10-19
2019-10-21,Constantine,2005,https://boxd.it/QwkbZ,,,,2019-10-20
2019-10-28,The Social Network,2010,https://boxd.it/QTNwD,5,Yes,,2019-10-27
2019-10-28,The Final Countdown,1980,https://boxd.it/QVh1x,,,,2019-10-27
2019-10-29,Runaway,2010,https://boxd.it/QYfz9,,,,2019-10-28
2019-11-02,Once Upon a Time... in Hollywood,2019,https://boxd.it/RecKF,5,Yes,"70mm, cinerama",2019-11-01
2019-11-06,Hot Fuzz,2007,https://boxd.it/RtDMj,5,Yes,,2019-11-05
2019-11-07,Inglourious Basterds,2009,https://boxd.it/RwUlv,5,Yes,,2019-11-06
2019-11-07,Step Brothers,2008,https://boxd.it/Rx83F,4,Yes,,2019-11-06
2019-11-08,Interstellar,2014,https://boxd.it/RANSl,5,Yes,,2019-11-07
2019-11-14,Zombieland: Double Tap,2019,https://boxd.it/RXbxF,3.5,,,2019-11-13
2019-11-18,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/Sc0qX,,,,2019-11-17
2019-11-18,Return of the Jedi,1983,https://boxd.it/Sc0tn,,,,2019-11-17
2019-11-21,The Interview,2014,https://boxd.it/SlSaH,4,Yes,,2019-11-20
2019-11-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/Sx4Vx,5,Yes,,2019-11-23
2019-11-28,Interstellar,2014,https://boxd.it/SNcB3,5,Yes,,2019-11-27
2019-11-29,Elf,2003,https://boxd.it/SPVc7,,Yes,,2019-11-28
2019-11-29,Pokémon Detective Pikachu,2019,https://boxd.it/SQd8n,3.5,Yes,,2019-11-28
2019-12-01,Kill Bill: Vol. 1,2003,https://boxd.it/SWs6X,5,Yes,,2019-11-30
2019-12-14,Kill Bill: Vol. 2,2004,https://boxd.it/TMxPH,4,Yes,,2019-11-30
2019-12-03,The Irishman,2019,https://boxd.it/T7AhV,4.5,,,2019-12-02
2019-12-07,National Lampoon's Christmas Vacation,1989,https://boxd.it/TmROR,4,Yes,,2019-12-07
2019-12-08,The Princess Bride,1987,https://boxd.it/ToFrb,4,,,2019-12-07
2019-12-08,Casino Royale,2006,https://boxd.it/Tq625,4,Yes,,2019-12-07
2019-12-08,Quantum of Solace,2008,https://boxd.it/TqCzv,4.5,Yes,,2019-12-07
2019-12-12,Once Upon a Time... in Hollywood,2019,https://boxd.it/TH8zp,5,Yes,,2019-12-11
2019-12-14,Return of the Jedi,1983,https://boxd.it/TO5kP,5,Yes,,2019-12-13
2019-12-15,Slumdog Millionaire,2008,https://boxd.it/TSXjz,5,Yes,,2019-12-14
2019-12-24,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/UwxOV,4,,,2019-12-18
2019-12-21,Star Wars: The Rise of Skywalker,2019,https://boxd.it/Ufm8l,4.5,,,2019-12-19
2019-12-24,Star Wars: The Rise of Skywalker,2019,https://boxd.it/UujbL,4.5,Yes,,2019-12-20
2019-12-27,Elf,2003,https://boxd.it/UNYwj,,Yes,,2019-12-26
2019-12-27,The Polar Express,2004,https://boxd.it/UNYyz,,Yes,,2019-12-26
2019-12-28,Sunshine,2007,https://boxd.it/UTiGN,4,Yes,,2019-12-27
2020-01-02,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/Vm4pB,,Yes,,2020-01-01
2020-01-02,Empire of Dreams: The Story of the Star Wars Trilogy,2004,https://boxd.it/Vm4yN,,Yes,,2020-01-01
2020-01-02,To All the Boys I've Loved Before,2018,https://boxd.it/Vo3NB,3.5,,,2020-01-01
2020-01-05,Drive,2011,https://boxd.it/VHCvP,2,,,2020-01-03
2020-01-07,Knives Out,2019,https://boxd.it/VVQC9,4,,,2020-01-06
2020-01-07,Amélie,2001,https://boxd.it/VWbvt,5,,,2020-01-06
2020-01-10,Ford v Ferrari,2019,https://boxd.it/WbG4N,4.5,,,2020-01-09
2020-01-11,Uncut Gems,2019,https://boxd.it/WgTdj,5,,,2020-01-10
2020-01-11,Jojo Rabbit,2019,https://boxd.it/WhwON,4,,,2020-01-11
2020-01-12,A Beautiful Day in the Neighborhood,2019,https://boxd.it/WlhbJ,4,,,2020-01-11
2020-01-12,1917,2019,https://boxd.it/WnvRX,4.5,,,2020-01-11
